"Year,""District"",""Code"",""Location"",""Robbery"",""Street_robbery"",""Injury"",""Agg_assault"",""Threat"",""Theft"",""Car"",""From_car"",""Bike"",""Burglary"",""Fire"",""Arson"",""Damage"",""Graffiti"",""Drugs"",""Local"""
"2013,""Pankow"",30716,""Prenzlauer Berg Süd"",17,9,154,33,76,1633,131,256,394,87,17,6,327,70,47,686"
"2013,""Pankow"",39900,""Bezirk (Pk), nicht zuzuordnen"",9,5,90,20,16,398,8,30,7,5,3,1,188,142,20,125"
"2013,""Charlottenburg-Wilmersdorf"",40101,""Charlottenburg-Nord"",53,16,298,64,154,1119,71,418,65,79,15,7,230,20,156,710"
"2013,""Charlottenburg-Wilmersdorf"",40202,""Heerstrasse"",19,8,127,41,45,720,34,232,56,62,3,2,143,47,22,273"
"2013,""Charlottenburg-Wilmersdorf"",40203,""Westend"",31,10,192,46,116,2344,64,465,193,110,10,7,226,34,23,587"
"2013,""Charlottenburg-Wilmersdorf"",40304,""Schloß Charlottenburg"",46,21,205,46,92,1205,29,176,256,92,12,7,186,28,63,633"
"2013,""Charlottenburg-Wilmersdorf"",40305,""Mierendorffplatz"",40,22,146,32,70,846,21,201,103,57,11,3,130,13,96,466"
"2013,""Charlottenburg-Wilmersdorf"",40306,""Otto-Suhr-Allee"",60,24,385,98,127,2260,27,308,355,157,14,5,410,94,141,965"
"2013,""Charlottenburg-Wilmersdorf"",40307,""Neue Kantstraße"",46,17,247,55,108,1384,59,292,278,108,8,4,290,73,135,723"
"2013,""Charlottenburg-Wilmersdorf"",40308,""Kantstraße"",60,28,295,79,98,2798,20,198,268,119,8,3,211,25,165,695"
"2013,""Charlottenburg-Wilmersdorf"",40309,""Kurfürstendamm"",112,46,919,287,183,4299,60,369,172,106,6,1,342,75,197,1517"
"2013,""Charlottenburg-Wilmersdorf"",40310,""Halensee"",23,8,135,25,71,1011,64,180,172,85,7,3,167,38,30,433"
"2013,""Charlottenburg-Wilmersdorf"",40411,""Grunewald"",13,6,96,28,68,950,53,330,82,164,6,3,123,14,13,414"
"2013,""Charlottenburg-Wilmersdorf"",40412,""Schmargendorf"",11,5,72,14,33,816,30,212,69,111,4,0,110,17,8,266"
